"Datum","Transaktion","Kategori","Belopp","Saldo"
"2003-10-14","Payroll Deposit - HOTEL","",694.81,695.36
"2003-10-14","Web Bill Payment - MASTERCARD","",-200.,495.36
"2003-10-16","ATM Withdrawal - ITERAC","",-21.25,474.11
"2003-10-16","Fees - Interac","",-1.5,472.61
"2003-10-20","Interac Purchase - ELECTRONICS","",-2.99,469.62
"2003-10-21","Web Bill Payment - AMEX","",-300.,169.62
"2003-10-22","ATM Withdrawal - FIRST BANK","",-100.,69.62
"2003-10-23","Interac Purchase - SUPERMARKET","",-29.08,40.54
"2003-10-24","Interac Refund - ELECTRONICS","",2.99,43.53
"2003-10-27","Telephone Bill Payment - VISA","",-6.77,36.76
"2003-10-28","Payroll Deposit - HOTEL","",731.57,731.57
"2003-10-30","Web Funds Transfer - From SAVINGS","",50.,781.57
"2003-11-03","Pre-Auth. Payment - INSURANCE","",-33.55,781.57
"2003-11-03","Cheque No. - 409","",-100.,748.02
"2003-11-06","Mortgage Payment","",-710.49,648.02
"2003-11-07","Fees - Overdraft","",-5.,-62.47
"2003-11-08","Fees - Monthly","",-5.,-72.47
